Suburb,Month,Year,avg_price
BROOKLYN,August,2016,719191.5
BROOKLYN,September,2016,488191.5
BROOKLYN,October,2016,610977
BROOKLYN,November,2016,716666.6667
BROOKLYN,December,2016,485000
BROOKLYN,February,2017,543142.75
BROOKLYN,March,2017,790000
BROOKLYN,April,2017,676250
BROOKLYN,May,2017,670999.6667
BROOKLYN,June,2017,820000
BROOKLYN,July,2017,526775
BROOKLYN,September,2017,901000
BRUNSWICK,April,2016,914193.6923
BRUNSWICK,May,2016,854372.0357
BRUNSWICK,June,2016,949002.25
BRUNSWICK,July,2016,1021069.1
BRUNSWICK,August,2016,865091.2857
BRUNSWICK,September,2016,880024.15
BRUNSWICK,October,2016,1017315.875
BRUNSWICK,November,2016,953900.75
BRUNSWICK,December,2016,1026773.125
BRUNSWICK,February,2017,994000
BRUNSWICK,March,2017,1129140.941
BRUNSWICK,April,2017,955500
BRUNSWICK,May,2017,1124804.409
BRUNSWICK,June,2017,1048856.68
BRUNSWICK,July,2017,1078101.2
BRUNSWICK,August,2017,952223
BRUNSWICK,September,2017,901566.2683
BRUNSWICK EAST,April,2016,1023000
BRUNSWICK EAST,May,2016,893183.3571
BRUNSWICK EAST,June,2016,835038.5
BRUNSWICK EAST,July,2016,823400
BRUNSWICK EAST,August,2016,979269.8
BRUNSWICK EAST,September,2016,1041285.714
BRUNSWICK EAST,October,2016,734223.6
BRUNSWICK EAST,November,2016,1078918.625
BRUNSWICK EAST,December,2016,1045623.6
BRUNSWICK EAST,February,2017,675372.6667
BRUNSWICK EAST,March,2017,1008194.143
BRUNSWICK EAST,April,2017,821253.8333
BRUNSWICK EAST,May,2017,882483.4118
BRUNSWICK EAST,June,2017,983889.75
BRUNSWICK EAST,July,2017,745325.4615
BRUNSWICK EAST,August,2017,768602.5833
BRUNSWICK EAST,September,2017,842707.5385
BRUNSWICK WEST,April,2016,879250
BRUNSWICK WEST,May,2016,724722.8889
BRUNSWICK WEST,June,2016,707119.6154
BRUNSWICK WEST,July,2016,925166.6667
BRUNSWICK WEST,August,2016,676187.5
BRUNSWICK WEST,September,2016,796276.25
BRUNSWICK WEST,October,2016,782381.8889
BRUNSWICK WEST,November,2016,869007.9412
BRUNSWICK WEST,December,2016,823618.3333
BRUNSWICK WEST,February,2017,844500
BRUNSWICK WEST,March,2017,674027.8333
BRUNSWICK WEST,April,2017,860354.4444
BRUNSWICK WEST,May,2017,804172.25
BRUNSWICK WEST,June,2017,897652.3333
BRUNSWICK WEST,July,2017,643711.7692
BRUNSWICK WEST,August,2017,1025246.364
BRUNSWICK WEST,September,2017,796850.3846
BULLEEN,April,2016,1150500
BULLEEN,May,2016,1223928.6
